得;dé, děi, de;obtain | must | (complement particle)
死;sǐ;to die, dead, fixed, impassible, extremely
干;gàn, gān;to work, do, manage, tree trunk | to concern, shield, dry, clean (Kangxi radical 51)
而;ér;and, but, yet, while (Kangxi radical 126)
等;děng;to wait, rank, equal, etc.
当;dāng, dàng;should, act as, work as, manage, match, (sound of bells) | appropriate, assume, pawn
所有;suǒyǒu;all, to have, to possess
也许;yěxǔ;perhaps, probably, maybe
行;xíng, háng;walk, be current, do, will do, okay | row, place, a firm (Kangxi radical 144)
不过;búguò;only, merely, but, however
发生;fāshēng;happen, occur, take place
一切;yíqiè;all, every, everything
抱;bào;to hold, to hug, carry in one's arms, to cradle
抱歉;bàoqiàn;be sorry, feel apologetic, to regret
感觉;gǎnjué;to feel, become aware of, feeling
肯定;kěndìng;sure, definite, affirm, approve
棒;bàng;stick, club, good, excellent
以;yǐ;to use, according to, so as to, for, by
以为;yǐwéi;think (mistakenly), consider (that), believe
掉;diào;to drop, to fall
生活;shēnghuó;life, livelihood, to live
之;zhī;(literary equivalent to 的), (pronoun), of
任何;rènhé;any, whatever, whichever
与;yǔ, yù, yú;(formal) and, to give, together with, participate, final particle expressing doubt or surprise
弄;nòng, lòng;do, manage, to handle, make | lane, alley
却;què;but, yet, however
继续;jìxù;to continue, to go on, to proceed
够;gòu;enough, to reach
父亲;fùqin;father
完全;wánquán;complete, whole, totally
可是;kěshì;but, however
谈;tán;to talk, to chat, discuss
好像;hǎoxiàng;as if, seem to be
警察;jǐngchá;police
场;chǎng, cháng;courtyard, place, field, (mw for games, performances, etc.) | threshing floor
刚;gāng;just (indicating the immediate past), recently, firm
呀;ya, yā;ah, oh, (used for 啊 after words ending with a, e, i, o, or ü)
情况;qíngkuàng;circumstance, state of affairs, situation
只要;zhǐyào;so long as, if only, provided that
份;fèn;part, portion, (mw for documents, papers, jobs, etc.)
底;dǐ;bottom, background, base
到底;dào dǐ;after all, in the end (used in a question)
成为;chéngwéi;become, turn into
永远;yǒngyuǎn;forever, eternal, always
安全;ānquán;safe, safety, secure, security
留;liú;to leave (behind, a message), to retain, to stay
计划;jìhuà;plan, project
俩;liǎ, liǎng;(colloquial) two (people)
停;tíng;to stop, to halt, to park (a car)
感谢;gǎnxiè;thank, be grateful
敢;gǎn;to dare
从来;cónglái;have always (from the beginning), never (with negative)
赢;yíng;to win, to beat, to profit
消息;xiāoxi;news, information
拉;lā, lá;to pull, to play (string instruments), to drag | to slash, to chat
原因;yuányīn;cause, reason
连;lián;even, including, join
确实;quèshí;indeed, in truth, reliable
挺;tǐng;straighten up, stick out, rather (good), very
保证;bǎozhèng;to guarantee, ensure
接受;jiēshòu;accept, receive (honors, etc.)
改变;gǎibiàn;to change, alter, to transform
麻烦;máfan;trouble (someone), troubling, bothersome
出现;chūxiàn;appear, arise, emerge
不管;bùguǎn;no matter (what, how, etc.), regardless of
甚至;shènzhì;even (to the point of), so much so that
保护;bǎohù;to protect, to defend
真正;zhēnzhèng;genuine, real, true
结果;jiéguǒ;result, outcome, finally
当时;dāngshí;then, at that time, while
至少;zhìshǎo;at least, (to say the) least
律师;lǜshī;lawyer
表演;biǎoyǎn;perform, to play
无;wú;have not, without, not (Kangxi radical 71)
猜;cāi;to guess
咱们;zánmen;we (including the listener), us, our
进行;jìnxíng;carry on, carry out, undertake
内;nèi;inside, inner, internal, within
是否;shìfǒu;whether (or not), if
调查;diàochá;investigate, survey, inquiry
成功;chénggōng;success, to succeed
考虑;kǎolǜ;think over, consider
约会;yuēhuì;appointment, engagement, date
