揍;zòu;(informal) beat, hit, (regional) smash, break
擅长;shàncháng;be good at, be expert in
忍受;rěnshòu;to bear, endure, tolerate
动手;dòngshǒu;get to work, to touch, strike a blow
清理;qīnglǐ;cleanup, put in order, check up
完毕;wánbì;finish, end, complete
机构;jīgòu;structure, organization, institution
即将;jíjiāng;will shortly, soon, be on the verge of
钻石;zuànshí;diamond
艰难;jiānnán;difficult, arduous
坦白;tǎnbái;honest, forthcoming, to confess
慈善;císhàn;philanthropic, benevolent, charitable
痕迹;hénjì;vestige, trace
区域;qūyù;area, region, district
镜头;jìngtóu;camera shot (in a movie, etc.), scene, camera lens
联盟;liánméng;alliance, union, coalition
审判;shěnpàn;put (someone) to trial, to try somebody
基地;jīdì;base (of operations)
嫉妒;jídù;to be jealous, to envy, covet, to hate, to begrudge
摇滚;yáogǔn;rock and roll
保姆;bǎomǔ;nanny, housekeeper
打架;dǎ jià;to fight, scuffle, to come to blows
天赋;tiānfù;natural talent
打击;dǎjī;to strike, to hit, to attack
类似;lèisì;similar, analogous
激情;jīqíng;passion, strong emotion, fervor, enthusiasm
注射;zhùshè;injection, inject (medicine)
转移;zhuǎnyí;to shift, divert, migrate
摆脱;bǎituō;break away, free oneself from, cast off
助手;zhùshǒu;assistant, helper
保密;bǎo mì;keep secret/confidential
栋;dòng;roof beam, (mw for buildings)
迷人;mírén;charming, enchanting, cute
除;chú;besides, except, remove, to divide (mathematics)
开除;kāichú;expel, to discharge, to kick out
仪式;yíshì;ceremony
混乱;hùnluàn;confusion, chaotic
联络;liánluò;communication, to contact
癌症;áizhèng;cancer
剑;jiàn;sword
天才;tiāncái;talent, gift, a genius, talented
发射;fāshè;to launch, to shoot (a projectile), to fire (a rocket)
生存;shēngcún;exist, survive
结局;jiéjú;conclusion, ending
非法;fēifǎ;illegal
人家;rénjiā;other people, others, they, I, family, household
动机;dòngjī;motive, motivation, intention
欺骗;qīpiàn;deceive, to cheat, to dupe
并非;bìngfēi;really isn't
人质;rénzhì;hostage
扮演;bànyǎn;play the part of, act
宇宙;yǔzhòu;universe, cosmos
剧本;jùběn;script for a play, opera, movie, etc
证实;zhèngshí;confirm, verify
被告;bèigào;defendant
扣;kòu;to fasten, to button, button, buckle, knot, to arrest, to confiscate, to deduct (money), discount, to knock, put upside down, to smash or spike (a ball), to cover (with a bowl etc), fig. to tag a label on sb
时机;shíjī;opportune time, opportunity
辩护;biànhù;speak in defense of, argue in favor of, defend
起码;qǐmǎ;at the minimum, at the very least
隐瞒;yǐnmán;conceal, hide, (a taboo subject), cover up
宁愿;nìngyuàn;would rather, better
社区;shèqū;community
助理;zhùlǐ;assistant
渴望;kěwàng;to thirst for, to long for, to yearn for
溜;liū;slip away, to skate, to glide
太空;tàikōng;outer space
毁灭;huǐmiè;perish, ruin, destroy
眼神;yǎnshén;expression or emotion showing in one's eyes
古怪;gǔguài;eccentric, grotesque, oddly
进攻;jìngōng;attack (military), assault
报复;bàofu;retaliate, revenge
荒谬;huāngmiù;ridiculous, nonsensical
拨;bō;to dial, move with a hand/foot, stir, poke, allocate (money)
卫星;wèixīng;satellite
期望;qīwàng;hope, expectation
嘲笑;cháoxiào;jeer, mock, scoff
冒犯;màofàn;to offend
娃娃;wáwa;baby, child, doll
达成;dá chéng;to reach (an agreement), achieve
夫妇;fūfù;married couple, husband and wife
新娘;xīnniáng;bride
竞选;jìngxuǎn;run for (electoral) office, take part in an election
亲密;qīnmì;intimate, close, familiarity
割;gē;to cut (apart/off)
制服;zhìfú;uniform, to subdue, to bring under control
直播;zhíbō;live broadcast (not recorded)
崩溃;bēngkuì;collapse, crumble, fall apart
宗教;zōngjiào;religion
乘;chéng;to ride, to mount, make use of, multiply
陷入;xiànrù;sink into, get caught up in, land in (a predicament)
回报;huíbào;repayment, payback
试验;shìyàn;experiment, test
异常;yìcháng;exceptional, abnormal
疾病;jíbìng;disease, illness, sickness, ailment
展现;zhǎnxiàn;come out, emerge, express, show
强迫;qiǎngpò;compel, to force
暗示;ànshì;drop a hint, suggest
当事人;dāngshìrén;persons involved or implicated, party (to an affair)
绝望;jué wàng;desperation, forlorn, hopeless
沮丧;jǔsàng;dejected, depressed, dispirited
灾难;zāinàn;disaster, catastrophe
正义;zhèngyì;justice, righteous
荣誉;róngyù;honor, glory
技巧;jìqiǎo;skill, technique
提议;tíyì;propose, suggest
中央;zhōngyāng;central, middle, center
即便;jíbiàn;even if, even though
机密;jīmì;secret, classified (information)
忠诚;zhōngchéng;honest, loyalty, devoted
走廊;zǒuláng;corridor, hallway
症状;zhèngzhuàng;symptom (of an illness)
当初;dāngchū;at that time, at the outset, originally
系列;xìliè;series
保重;bǎozhòng;take care (of oneself)
震惊;zhènjīng;shock, astonish, amaze
反抗;fǎnkàng;resist, to revolt
心灵;xīnlíng;heart, soul, smart, quick-witted
掩护;yǎnhù;cover, shield, screen
活力;huólì;energy, vitality, vigor
天生;tiānshēng;innate, inherent, natural
枚;méi;(mw for coins, rings, medals)
不止;bùzhǐ;incessantly, more than
顾问;gùwèn;adviser, consultant
障碍;zhàng'ài;barrier, obstacle
危机;wēijī;crisis
维持;wéichí;maintain, preserve
保守;bǎoshǒu;conservative (ideas, estimates, politically, etc.), to guard, to keep
主管;zhǔguǎn;person in charge of (a position, etc.), preside over, Chief Operating Officer (COO)
主义;zhǔyì;-ism, ideology
罐;guàn;can, jar, pot, pitcher, jug
视频;shìpín;video
治安;zhì'ān;law and order, public security
标记;biāojì;sign, mark, symbol
出卖;chūmài;sell, betray, sell out
昏迷;hūnmí;lose consciousness, be in a coma
凌晨;língchén;early in the morning
侮辱;wǔrǔ;to insult, humiliate
暴露;bàolù;expose, reveal, lay bare
绅士;shēnshì;gentleman
公民;gōngmín;citizen
残忍;cánrěn;brutal, bloody, merciless
造型;zàoxíng;make a model, to mold
迹象;jìxiàng;mark, indication, sign
神圣;shénshèng;divine, holy, sacred
航空;hángkōng;aviation
仓库;cāngkù;depot, storehouse, warehouse
码头;mǎtou;dock, wharf
本人;běnrén;I, me, myself, oneself, in person
大不了;dàbuliǎo;at the worst, if worst comes to worst, serious, alarming
补偿;bǔcháng;compensation, make up
冲动;chōngdòng;impulsive, act on impulse
演奏;yǎnzòu;give an instrumental performance
对抗;duìkàng;withstand, resist, antagonize
城堡;chéngbǎo;castle
本身;běnshēn;itself, in itself, per se
按摩;ànmó;massage
熬;áo;endure, to boil
奴隶;núlì;slave
在意;zài yì;care about, mind, care
拜访;bàifǎng;pay a visit, call on
奖励;jiǎnglì;to reward (as encouragement)
膝盖;xīgài;knee
引擎;yǐnqíng;engine
宰;zǎi;slaughter, butcher, govern, rule, imperial official in dynastic China
贼;zéi;thief
种族;zhǒngzú;race, ethnicity
舌头;shétou;tongue
消灭;xiāomiè;eliminate, perish, wipe out
乐趣;lèqù;delight, pleasure, joy, fun
虐待;nüèdài;to abuse, maltreat, tyrannize
舔;tiǎn;to lick
薪水;xīnshuǐ;salary, wage, pay, stipend
理智;lǐzhì;reason, intellect, rational
诉讼;sùsòng;lawsuit
封锁;fēngsuǒ;to block off, to seal off, cordon off, blockade
基因;jīyīn;gene
职位;zhíwèi;(professional) position
可恶;kěwù;hateful, abominable, repulsive
确切;quèqiè;definite, exact, precise
支援;zhīyuán;to support, assist, aid
