啊;ā, á, ǎ, à, a;ah, (particle showing elation, doubt, puzzled surprise, or approval)
还;hái, huán;still, yet, in addition, even | repay, to return
把;bǎ, bà;(mw for things with handles), (pretransitive particle), to hold | a grip, a handle, stem (of plants)
过;guò;to pass, to cross, go over, (indicates a past experience)
如果;rúguǒ;if, in the event that
只;zhǐ, zhī;only, merely, just, but | (mw for birds and certain animals)
被;bèi;by (indicates passive voice sentences), a quilt/blanket
跟;gēn;to follow, go with, heel
自己;zìjǐ;oneself, self
用;yòng;to use (Kangxi radical 101)
像;xiàng;be like, resemble, appearance, appear
为;wéi, wèi;to act (as), become, to mean | for, because of, to, for the sake of
需要;xūyào;to need, to want, to demand
应该;yīnggāi;should, ought to, must
起来;qǐ lai;(beginning or continuing an action), to rise, get up (from bed)
才;cái;ability, talent, just now, not until
又;yòu;(once) again, also, both (Kangxi radical 29)
拿;ná;carry in your hand, seize, to catch
更;gèng, gēng;more, even more | change, watch (e.g. of a sentry or guard)
带;dài;band, belt, ribbon, carry, bring, take along, bring up (kids)
然后;ránhòu;then, afterwards
一样;yíyàng;the same, alike, equal to
当然;dāngrán;of course, naturally
相信;xiāngxìn;believe (sb.), be convinced of
认为;rènwéi;believe, think that
明白;míngbai;clear, obvious, understand, explicit
一直;yìzhí;always, all along, straight (in a straight line)
地;dì, de;earth, ground | (adverbial particle)
地方;dìfang;place, space, room, part, (fāng: local, regional)
离开;líkāi;leave, depart
一定;yídìng;surely, certainly, necessarily, definite
还是;háishi;or, still, nevertheless, had better
发;fā, fà;send out, to issue, to show (one's feelings) | hair
发现;fāxiàn;discover, to find
而且;érqiě;moreover, in addition, as well as
必须;bìxū;must, have to
放;fàng;put, to place, to release, to free
为了;wèile;in order to, for the sake of, for the purpose of
向;xiàng;direction, towards, to turn, to face
老;lǎo;old, aged, tough, often (Kangxi radical 125)
位;wèi;position, location, (polite mw for people)
先;xiān;first, early, before
种;zhǒng, zhòng;type, breed, race, seed | to plant
最后;zuìhòu;last, final, ultimately
其他;qítā;other, else
记得;jìde;remember
或者;huòzhě;or, possible, maybe, perhaps
过去;guòqù;in the past, formerly
担心;dānxīn;to worry, feel anxious
条;tiáo;strip, (mw for long thin objects), item
以前;yǐqián;before, formerly, previous
长;cháng, zhǎng;long, length | grow, chief (Kangxi radical 168)
世界;shìjiè;world
重要;zhòngyào;important, significant, major
别人;biéren;other people, others
机会;jīhuì;opportunity, chance, occasion
张;zhāng;(mw for flat objects), to spread out, (common surname)
接;jiē;connect, to meet, to pick up (somebody), to receive
比赛;bǐsài;(sports) match, competition
关;guān;to close, shut, concern, relationship, turn off, mountain pass
关系;guānxi;relation, to concern
马;mǎ;horse (Kangxi radical 187)
马上;mǎshàng;at once, immediately, right away
决定;juédìng;decide, resolve
关于;guānyú;about, regarding, concerning
难;nán, nàn;difficult | trouble, to blame
了解;liǎojiě;comprehend, understand, know, find out
站;zhàn;stand, a station, be on one's feet, service center
结束;jiéshù;to end, to finish, conclude
清楚;qīngchu;clear, distinct, be clear about
愿意;yuànyì;be willing, want to, be ready
花;huā;flower, blossom, spend money, cost
照片;zhàopiàn;picture, photograph
欢迎;huānyíng;to welcome, greet
总是;zǒngshì;always, eventually
嘴;zuǐ;mouth
参加;cānjiā;participate, join, take part in
办法;bànfǎ;method, way (of doing something)
选择;xuǎnzé;select, to pick, choose
坏;huài;bad, broken
打算;dǎsuàn;to plan, intend
试;shì;to try, to test, examination
特别;tèbié;special, especially, particular
注意;zhùyì;pay attention to, take notice of, be careful
其实;qíshí;actually, in fact
小心;xiǎoxīn;be careful
久;jiǔ;long (time)
只有;zhǐyǒu;only
讲;jiǎng;to talk, to lecture, to explain, a speech
故事;gùshi;story, tale
换;huàn;change, to exchange, to barter, to trade
结婚;jiéhūn;get married
段;duàn;paragraph, segment, section
努力;nǔlì;to work hard, to strive
害怕;hàipà;afraid of, to fear
刚才;gāngcái;just now, a moment ago
节目;jiémù;program, item (on a program)
辆;liàng;(mw for vehicles)
万;wàn;ten thousand
解决;jiějué;settle (a dispute), resolve, solve
办公室;bàngōngshì;office
奇怪;qíguài;strange, odd
同意;tóngyì;agree, to consent, approve
游戏;yóuxì;game, play, recreation
帮忙;bāngmáng;to help
国家;guójiā;country, state, nation
最近;zuìjìn;recently, lately, these days
声音;shēngyīn;sound, voice
可爱;kě'ài;cute, lovely
分;fēn, fèn;divide, part, minute, cent | component, share, ingredient
完成;wánchéng;to complete, accomplish, to fulfill
半;bàn;half, semi-, incomplete
要求;yāoqiú;to request, to demand, requirement
除了;chúle;besides, except for, aside from, in addition to
容易;róngyì;easy, likely, liable (to)
教;jiāo, jiào;teach, instruct | religion, teaching
脸;liǎn;face
简单;jiǎndān;simple, not complicated
检查;jiǎnchá;to check, examine, inspect
音乐;yīnyuè;music
越;yuè;even more, the more, exceed
照顾;zhàogu;take care of, look after, give consideration
聪明;cōngming;intelligent, clever, bright, smart
甜;tián;sweet
突然;tūrán;sudden, abrupt
终于;zhōngyú;at last, in the end, finally
船;chuán;a boat, vessel, ship
口;kǒu;mouth (Kangxi radical 30)
回答;huídá;to reply, to answer
礼物;lǐwù;gift, present
头发;tóufa;hair (on the head)
关心;guānxīn;concerned about/with
脚;jiǎo;foot (body part)
生气;shēngqì;angry, mad
哭;kū;cry, weep
画;huà;draw, picture, painting
年轻;niánqīng;young
包;bāo;to cover, to wrap, to hold, include, (mw for containers, packages, etc.)
腿;tuǐ;leg
忘记;wàngjì;forget
搬;bān;to move, to transport
楼;lóu;story, floor, (multi-story) building
遇到;yùdào;to meet, run into, come across
新闻;xīnwén;news
比较;bǐjiào;compare, contrast, relatively
双;shuāng;two, double, (mw for pairs)
见面;jiànmiàn;meet/see somebody (face to face), meeting
经常;jīngcháng;often, frequently, daily
城市;chéngshì;city or town
一会儿;yíhuìr;a while, a moment
附近;fùjìn;(in the) vicinity, nearby, neighboring
借;jiè;lend, borrow, excuse
影响;yǐngxiǎng;influence, affect, effect
认真;rènzhēn;serious, earnest, take seriously
米;mǐ;rice, meter (Kangxi radical 119)
差;chà, chā, chāi, cī;differ from, fall short of, poor, inferior | difference | to dispatch
银行;yínháng;bank
安静;ānjìng;quiet, peaceful, calm
多么;duōme;how (wonderful, etc.), what (a great idea)
饿;è;hungry
根据;gēnjù;according to, based on, basis
几乎;jīhū;almost
后来;hòulái;afterwards, after, later
动物;dòngwù;animal
西;xī;West (Kangxi radical 146)
一边;yìbiān;one side, on the one hand, at the same time
舒服;shūfu;comfortable, feeling well
一般;yìbān;general, ordinary, common, same
叔叔;shūshu;(informal) father's younger brother, uncle
疼;téng;ache, sore, (it) hurts, love fondly
迟到;chídào;arrive late
历史;lìshǐ;history
啤酒;píjiǔ;beer
短;duǎn;short (in length, duration, or height), lack
经过;jīngguò;to pass, go through, as a result of
周末;zhōumò;weekend
班;bān;team, class, squad
习惯;xíguàn;habit, be accustomed to, usual practice
公园;gōngyuán;public park
干净;gānjìng;clean, neat and tidy
鸟;niǎo;bird (Kangxi radical 196)
健康;jiànkāng;health, healthy
树;shù;tree
蛋糕;dàngāo;cake
元;yuán;Chinese monetary unit, dollar, first, principal
客人;kèrén;guest, customer
会议;huìyì;meeting, conference
奶奶;nǎinai;grandma, (informal) paternal grandmother
裤子;kùzi;pants, trousers
邻居;línjū;neighbor
经理;jīnglǐ;manager, director
层;céng;(mw for layers, floors of buildings)
灯;dēng;lamp, light
练习;liànxí;practice, exercise
爷爷;yéye;(informal) father's father, paternal grandfather
蓝;lán;blue
难过;nánguò;be grieved, be sad, have a hard time
中间;zhōngjiān;center, middle, between, among
帽子;màozi;hat, cap
司机;sījī;driver, chauffeur
旧;jiù;old, past, used
满意;mǎnyì;satisfied, pleased
骑;qí;to ride (an animal or bike), to sit astride
太阳;tàiyáng;the sun
极;jí;an extreme, pole, very
主要;zhǔyào;main, principal, major
同事;tóngshì;colleague, co-worker
鼻子;bízi;nose
角;jiǎo, jué;horn, angle, unit of money (1/10 yuan), corner (Kangxi radical 148) | role (theater)
变化;biànhuà;change
东;dōng;East
年级;niánjí;grade, year (in school)
环境;huánjìng;environment, surroundings
胖;pàng;fat, plump
地图;dìtú;map
面包;miànbāo;bread
电子邮件;diànzǐ yóujiàn;email
耳朵;ěrduo;ear
裙子;qúnzi;skirt
新鲜;xīnxiān;fresh (experience, food, etc.), new, novel
放心;fàng xīn;relax, feel relieved, rest assured
聊天;liáotiān;to chat
南;nán;South
热情;rèqíng;cordial, warm, enthusiastic
信用卡;xìnyòngkǎ;credit card
电梯;diàntī;elevator
方便;fāngbiàn;convenient
洗手间;xǐshǒujiān;toilet, lavatory, washroom
洗澡;xǐzǎo;bathe, take a bath or shower, bath or shower
饮料;yǐnliào;beverage, drink
校长;xiàozhǎng;principal (of school, college or university), president, headmaster
水平;shuǐpíng;level, standard, horizontal
作业;zuòyè;school assignment, homework, task
衬衫;chènshān;shirt, blouse
成绩;chéngjì;achievement, success, results (of work or study)
碗;wǎn;bowl, cup
阿姨;āyí;auntie, step-mother, mother's younger sister
图书馆;túshūguǎn;library
文化;wénhuà;culture, civilization
绿;lǜ;green
打扫;dǎsǎo;to clean, to sweep
草;cǎo;grass, straw, draft (of a document)
冰箱;bīngxiāng;refrigerator
数学;shùxué;mathematics
自行车;zìxíngchē;bike, bicycle
着急;zháojí;to worry, feel anxious
瘦;shòu;thin, tight, lean
提高;tígāo;to raise, heighten, improve
起飞;qǐfēi;take off (in an airplane), liftoff
矮;ǎi;short, low
地铁;dìtiě;subway
体育;tǐyù;physical training, sports
刻;kè;quarter (hour), (mw for short time intervals), carve, to cut
护照;hùzhào;passport
节日;jiérì;holiday, festival
盘子;pánzi;plate, dish, tray
一共;yígòng;altogether, in total
瓶子;píngzi;bottle
街道;jiēdào;street
锻炼;duànliàn;to exercise, work out, toughen, to temper
感冒;gǎnmào;catch cold, (common) cold
爱好;àihào;hobby, fond of, to like, interest
超市;chāoshì;supermarket
月亮;yuèliang;the moon
饱;bǎo;eat until full, satisfied
有名;yǒumíng;famous, well-known
香蕉;xiāngjiāo;banana
笔记本;bǐjìběn;notebook
夏;xià;summer
菜单;càidān;menu
北方;běifāng;north, the northern part of the country
上网;shàngwǎng;to surf the web, to go online
季节;jìjié;season, time, period
渴;kě;thirsty
发烧;fāshāo;have a fever
不但;búdàn;not only
空调;kōngtiáo;air conditioning
照相机;zhàoxiàngjī;camera
春;chūn;spring (season), joyful
伞;sǎn;umbrella, parasol
公斤;gōngjīn;kilogram
个子;gèzi;height, stature, build
熊猫;xióngmāo;panda
刷牙;shuāyá;brush one's teeth
复习;fùxí;revise, to review
冬;dōng;winter
请假;qǐng jià;to ask for time off
中文;Zhōngwén;Chinese (language)
秋;qiū;autumn, fall, harvest time
句子;jùzi;sentence
行李箱;xínglǐxiāng;trunk, suitcase
筷子;kuàizi;chopsticks
皮鞋;píxié;leather shoes
爬山;páshān;mountain climbing
黑板;hēibǎn;blackboard
感兴趣;gǎn xìngqù;be interested in
词典;cídiǎn;dictionary
留学;liú xué;study abroad
刮风;guāfēng;windy, to blow (wind)
黄河;huánghé;Yellow River
